address,price,bed,bath,sq_ft,acres,hoa,garages,pool,land,city_id,city_name
"240 Hallock Dr, Abingdon, VA 24210","$245,900",3,2.5,"1,344",N/A,N/A,N/A,False,False,22,Abingdon
"22455 Wyldwood Road Rd, Abingdon, VA 24211","$828,000",3,2.5,"4,211",N/A,N/A,N/A,False,False,22,Abingdon
"15393 Mountain Spring Rd, Abingdon, VA 24210","$199,900",3,2,"1,680",N/A,N/A,N/A,False,False,22,Abingdon
"23324 Denton Valley Rd, Abingdon, VA 24211","$259,900",3,2,"1,380",0.48 acre lot,N/A,N/A,False,False,22,Abingdon
"23300 Wycoff Dr, Abingdon, VA 24211","$995,000",5,4,"5,418",5 acre lot,N/A,N/A,False,False,22,Abingdon
"23476 Golden View Dr, Abingdon, VA 24211","$349,900",3,3,"2,800",2.38 acre lot,N/A,N/A,False,False,22,Abingdon
"625 Locust St, Abingdon, VA 24210","$734,999",3,4,"3,580",5.3 acre lot,N/A,2,False,False,22,Abingdon
"346 Rodefer St SW, Abingdon, VA 24210","$229,000",2,1,"1,340",N/A,N/A,N/A,False,False,22,Abingdon
"131 NE Hillside Dr, Abingdon, VA 24210","$549,000",3,3,"3,323",N/A,N/A,N/A,False,False,22,Abingdon
"20324 Josh Allen Dr, Abingdon, VA 24211","$548,000",3,3,"2,575",N/A,N/A,N/A,False,False,22,Abingdon
"867 Wayne Ave, Abingdon, VA 24210","$314,000",3,2,"1,593",N/A,N/A,N/A,False,False,22,Abingdon
"23264 Harbor Light Cir, Abingdon, VA 24211","$529,000",4,2.5,"2,330",N/A,N/A,N/A,False,False,22,Abingdon
"15513 Windbreak Ln, Abingdon, VA 24210","$199,900",3,2,"1,620",N/A,N/A,N/A,False,False,22,Abingdon
"15399 Leatherwood Rd, Abingdon, VA 24210","$425,000",3,2,"2,175",N/A,N/A,N/A,False,False,22,Abingdon
"945 Maiden St, Abingdon, VA 24210","$175,000",2,2,968,N/A,N/A,N/A,False,False,22,Abingdon
"641 NW Locust St, Abingdon, VA 24210","$161,000",2,1,768,N/A,N/A,N/A,False,False,22,Abingdon
"863 Glenview Dr, Abingdon, VA 24211","$899,000",4,3.5,"4,518",N/A,N/A,N/A,False,False,22,Abingdon
"16092 Orleans Dr, Abingdon, VA 24210","$379,900",3,2.5,"2,176",N/A,N/A,N/A,False,False,22,Abingdon
"309 Church St, Abingdon, VA 24210","$485,000",3,2.5,800,N/A,N/A,N/A,False,False,22,Abingdon
"27431 Denton Valley Rd, Abingdon, VA 24211","$348,000",4,2,"1,162",N/A,N/A,N/A,False,False,22,Abingdon
"18150 Fortunes Way, Abingdon, VA 24210","$364,850",3,2,"2,001",N/A,N/A,N/A,False,False,22,Abingdon
"270 Valley St, Abingdon, VA 24210","$499,000",4,4,"2,888",N/A,N/A,N/A,False,False,22,Abingdon
"16037 Knights Bridge Rd #52, Abingdon, VA 24210","$445,000",N/A,N/A,—,N/A,N/A,N/A,False,True,22,Abingdon
"879 Wayne Ave, Abingdon, VA 24210","$324,900",3,2,"1,992",N/A,N/A,N/A,False,False,22,Abingdon
"20413 Turfway Ln #20413, Abingdon, VA 24211","$239,500",2,2,"1,018",N/A,N/A,N/A,False,False,22,Abingdon
"338 Lowland St, Abingdon, VA 24210","$200,000",N/A,1.5,"1,869",N/A,N/A,N/A,False,False,22,Abingdon
"1036 Cummings St #2 St, Abingdon, VA 24211","$687,500",3,3.5,"2,652",N/A,N/A,N/A,False,False,22,Abingdon
"1036 Cummings St #2, Abingdon, VA 24211","$687,500",3,3.5,"2,652",N/A,N/A,N/A,False,False,22,Abingdon
"120 Trigg St, Abingdon, VA 24210","$159,000",2,1,986,N/A,N/A,N/A,False,False,22,Abingdon
"22082 Big Bass Camp Rd, Abingdon, VA 24211","$399,000",2,2.5,"1,924",N/A,N/A,N/A,False,False,22,Abingdon
"17516 Donegal Dr, Abingdon, VA 24210","$405,000",3,2.5,"2,100",N/A,N/A,N/A,False,False,22,Abingdon
"0000 Rhea Valley Rd Unit 130 A 45, Meadowview, VA 24211","$289,000",N/A,N/A,—,N/A,N/A,N/A,False,True,22,Abingdon
"309 Main St, Abingdon, VA 24210","$379,000",2,2,"1,276",N/A,N/A,N/A,False,False,22,Abingdon
"148 Hill Dr, Abingdon, VA 24210","$464,900",4,3,"3,466",N/A,N/A,N/A,False,False,22,Abingdon
"000 Rust Hollow Rd Unit N/A, Abingdon, VA 24210","$49,900",N/A,N/A,—,N/A,N/A,N/A,False,True,22,Abingdon
"264 Church St, Abingdon, VA 24210","$389,000",4,2.5,"1,792",N/A,N/A,N/A,False,False,22,Abingdon
"22877 Welcome Ln, Abingdon, VA 24211","$650,000",2,3.5,"3,151",N/A,N/A,N/A,False,False,22,Abingdon
"18207 Macedonia Rd, Abingdon, VA 24211","$194,900",4,2,"2,098",N/A,N/A,N/A,False,False,22,Abingdon
"2006 Florist Rd, Abingdon, VA 24210","$315,900",3,2,"1,404",N/A,N/A,N/A,False,False,22,Abingdon
